dataset,experiment,x_label,x_value,n_e,n_c,capacity,profile_size,initial_assignment,iteration_number,seed,method,total_rank_improvement,execution_time,peak_memory_mb,cycle_count
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,6,140129,W-TTC,1993,0.04114148,0.734115601,128
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,6,140129,ReACT-TTC,1557,0.059995512,1.531960487,148
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,6,140129,TTC,1557,0.059456336,1.543129921,148
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,7,140130,W-TTC,1889,0.039883051,0.691859245,121
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,7,140130,ReACT-TTC,1591,0.052312927,1.528220177,123
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,7,140130,TTC,1591,0.046957795,1.52818203,123
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,8,140131,W-TTC,2041,0.041081305,0.717914581,138
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,8,140131,ReACT-TTC,1683,0.051157495,1.548805237,125
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,8,140131,TTC,1683,0.046693981,1.549133301,125
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,9,140132,W-TTC,2275,0.040390745,0.714167595,134
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,9,140132,ReACT-TTC,1878,0.059016233,1.618505478,142
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,9,140132,TTC,1878,0.054084311,1.618467331,142
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,10,140133,W-TTC,1958,0.047119504,0.709781647,124
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,10,140133,ReACT-TTC,1665,0.067481936,1.535676956,131
